Time,AE,EC,M,O
18.79537688,24787.48744,1.26e-05,0.081058364,0
19.29286432,25925.9799,1.22e-05,0.081231761,0
19.79193069,30479.25743,1.21e-05,0.076022068,0
20.2943,23334.45,1.24e-05,0.085419699,0
20.79353234,31101.59204,1.23e-05,0.074836241,0
21.2940099,23304.45545,1.15e-05,0.0832786,0
21.79711443,29922.73632,1.13e-05,0.079434095,0
22.29625,25981.65,1.1e-05,0.078432771,0
22.79435,25995.45,1.08e-05,0.083865422,0
23.29430693,30486.88119,1.06e-05,0.075700585,0
23.79575,23841.6,1.03e-05,0.085246446,0
24.29502488,30293.38308,1.01e-05,0.077009291,0
24.7946,24922.75,1.01e-05,0.083880542,0
25.29726368,26258.80597,9.87e-06,0.084887071,0
25.79625,30719.0,9.65e-06,0.079385843,0
26.2938,23308.5,9.5e-06,0.088617169,0
26.79475248,30565.9901,9.41e-06,0.078970357,0
27.29522613,22990.35176,9.23e-06,0.087125447,0
27.79457711,29391.74129,9.01e-06,0.082089612,0
28.29591133,26260.24631,8.95e-06,0.082059647,0
28.79805,25150.75,8.87e-06,0.08744494,0
29.2979397,30305.02513,8.7e-06,0.078414906,0
29.79336683,23552.66332,8.58e-06,0.088636617,0
30.29453202,30771.7734,8.54e-06,0.080314677,0
30.7960199,24767.01493,8.29e-06,0.084290415,0
31.29447236,26272.86432,8.25e-06,0.085194648,0
31.79325123,31216.55172,8.14e-06,0.079664372,0
32.29597015,22988.60697,8.04e-06,0.088628064,0
32.79646766,31841.9403,7.88e-06,0.078036684,0
33.29562189,22638.65672,7.84e-06,0.087562009,0
33.7962,30447.6,7.86e-06,0.082546084,0
34.29361809,26443.86935,7.66e-06,0.081782648,0
34.79455446,25123.91089,7.54e-06,0.087853573,0
35.29552239,31421.19403,7.49e-06,0.078075346,0
35.79535,23068.75,7.45e-06,0.088690542,0
36.29606965,31263.28358,7.27e-06,0.079604627,0
36.7947,24615.8,7.28e-06,0.085188313,0
